date,close,volume,rsi_14,ema_200,macd,macd_signal,atr_14,adx_14,return_1d,return_5d,return_10d,volatility_10,volatility_20,ema20_ema50_ratio,ema50_ema200_ratio,macd_hist,dist_bb_upper,dist_bb_lower,target,vol_ma_20,obv,tr,bollinger_bandwidth,volatility_regime,bollinger_width_pct,atr_pct,gap_type,day_of_week,month
2025-08-18,24876.94921875,363100,52.27903702577672,24220.31139017628,-115.5758794713729,-131.90980999478316,220.7428850446429,30.730707143736943,0.0099730192766349,0.0210828755147702,0.0126845175961216,0.006329579108382,0.0061337996529832,0.9975169215511848,1.0245553071116098,16.33393052341026,0.0125723189427237,0.0225077527081998,0,304525.0,19527000,390.69921875,0.0361710817971349,1,0.0361710817971349,0.0088733905071553,0,0,8
2025-08-19,24980.650390625,252300,55.12484004969343,24227.8769523698,-83.13389076478416,-122.15462614878336,212.896484375,28.62008145524729,0.0041685646806257,0.0160910633414963,0.0104317032136391,0.0061655053444466,0.0061041976585923,0.998127757547002,1.0245034186180637,39.02073538399921,0.0075631938391735,0.0262004390882895,0,301880.0,19779300,138.701171875,0.0349665969931506,1,0.0349665969931506,0.0085224556224884,0,1,8
2025-08-20,25050.55078125,287100,56.986831551326105,24236.06276161239,-51.19288394178875,-107.96227770738444,214.9428013392857,27.124188853222048,0.0027981813736617,0.0229975571780416,0.016268044945672,0.0060158304355403,0.0061353123920396,0.998823364892269,1.0245279406301044,56.769393765595694,0.0046705786373972,0.0288778807161158,0,292050.0,20066400,159.0,0.034841704879977,1,0.034841704879977,0.0085803622928789,0,2,8
2025-08-21,25083.75,226500,57.88072452069734,24244.49746050181,-22.936113180847315,-90.95704480207702,199.3427734375,26.111112671851835,0.0013252889742787,0.0188632274204416,0.0207351937173689,0.0057918132134168,0.0059622266353701,0.9995069500363682,1.0245811018668172,68.0209316212297,0.0019803326945397,0.0293454486186937,0,289800.0,20292900,103.099609375,0.0325854254621142,1,0.0325854254621142,0.0079470881920566,0,3,8
2025-08-22,24870.099609375,210200,50.59383482021025,24250.72235750553,-17.57957336750769,-76.28155051516316,197.6713169642857,24.581347734466373,-0.0085174820600987,0.0096949337043044,0.0111378900518683,0.0066978490771371,0.0061018102811936,0.9996207845234132,1.0243660428764088,58.70197714765547,0.0092691435151168,0.0204600494497109,0,283375.0,20082700,225.69921875,0.0306731385107492,1,0.0306731385107492,0.0079481513974223,0,4,8
2025-08-25,24967.75,213000,53.476758720416846,24257.85696091344,-5.392742371386703,-62.10378888640787,195.4714006696429,23.16085172117988,0.0039264173509054,0.0036499966475616,0.0248098245872818,0.0055914582849589,0.0058187235655584,0.999941366177103,1.0242686709762026,56.71104651502117,0.0060526713578236,0.0244982552235103,0,280120.0,20295700,151.451171875,0.0316363649197362,1,0.0316363649197362,0.0078289553792249,0,0,8
2025-08-26,24712.05078125,750500,45.92062070464328,24262.376302409328,-16.180858130872366,-52.91920273530077,205.1393694196429,22.92595288781641,-0.0102411798720348,-0.0107523064922201,0.0051657408044427,0.0063374697980496,0.0061133870967235,0.9996435855110476,1.0238604667167035,36.738344604428406,0.0164978303512578,0.0143139262116245,0,304540.0,19545200,278.150390625,0.0315777138731885,1,0.0315777138731885,0.0083011875961055,0,1,8
2025-08-28,24500.900390625,326600,40.79455491107537,24264.749676421423,-41.29259413895488,-50.5938810160316,212.1572265625,23.55705015316199,-0.0085444301039235,-0.0219416489251966,0.0005513039271072,0.0068434115553496,0.0062534974701087,0.9989092970793126,1.0232102010111075,9.30128687707672,0.0250782089282074,0.0069462381723494,0,306635.0,19218600,230.451171875,0.0325611901885087,1,0.0325611901885087,0.0086591604055367,0,3,8
2025-08-29,24426.849609375,325500,39.14424033865326,24266.36261107768,-66.4036451380016,-53.75583384042561,203.4215959821429,24.41495663820001,-0.0030223697933294,-0.0261882848706832,-0.0078190530235086,0.0066315566655763,0.0062567150201952,0.998106944824392,1.0224940086987264,-12.647811297575984,0.027934895694382,0.0054378867277984,1,310715.0,18893100,167.75,0.0338588904331475,1,0.0338588904331475,0.008327786809809,0,4,8
2025-09-01,24625.05078125,229300,45.49940798875656,24269.931647596804,-69.5098891029229,-56.90664489292507,199.85728236607144,24.756349950228586,0.0081140701746054,-0.0098531502476422,-0.0002537421817672,0.007205324990505,0.0065310782712883,0.9978640244486168,1.0220412298927375,-12.603244209997824,0.0193741352138261,0.0137376462027787,0,304865.0,19122400,208.75,0.0338764986761307,1,0.0338764986761307,0.0081160150345048,0,0,9
2025-09-02,24579.599609375,271600,44.35548649233296,24273.01292084833,-74.77715504720254,-60.48074692378057,198.45368303571428,24.26040097059635,-0.0018457290617897,-0.0155460700553714,-0.0119528165113945,0.0062997408158997,0.0062747961246118,0.9975578004242772,1.0215475395416769,-14.296408123421967,0.021253261668569,0.0118500909274619,1,305275.0,18850800,233.75,0.0338043889245206,1,0.0338043889245206,0.0080739184604138,0,1,9
2025-09-03,24715.05078125,340300,48.51013770913215,24277.411307519,-67.2465473605589,-61.83390701113625,196.0895647321429,23.799876918080702,0.005510715147017,0.0001213982613808,-0.0106322135421532,0.0064391974751965,0.006230006465772,0.9976071106919958,1.0212316460353048,-5.412640349422659,0.0156370281521899,0.0172775707555158,0,309325.0,19191100,203.8515625,0.0337973889750984,1,0.0337973889750984,0.0079340142356051,0,2,9
2025-09-04,24734.30078125,314100,49.09188171325081,24281.95747143672,-59.044543647538376,-61.27603433841668,202.90387834821428,22.26857839260896,0.0007788776228048,0.0095261964623269,-0.0126244729212384,0.0063359583869224,0.0061923814600104,0.997702468994281,1.0209458719454505,2.231490690878303,0.0150095308414635,0.0178626979624641,0,312440.0,19505200,272.55078125,0.0337743771087486,1,0.0337743771087486,0.0082033399748266,0,3,9
